staid,n_reach,nse0,sigma,STAID,huc2,CLASS,AGGECOREGI,STATE,DRAIN_SQKM,STANAME
01671020,29,0.62692916,19.057447,01671020,02,Non-ref,SEPlains,VA,1200.548,"NORTH ANNA RIVER AT HART CORNER NEAR DOSWELL, VA"
01628500,65,0.5684042,52.77226,01628500,02,Non-ref,EastHghlnds,VA,2792.926,"S F SHENANDOAH RIVER NEAR LYNNWOOD, VA"
01446500,268,0.84018004,295.50848,01446500,02,Non-ref,NorthEast,NJ,11769.17,DELAWARE RIVER AT BELVIDERE NJ
02169570,3,0.7234831,2.2801757,02169570,03,Non-ref,SEPlains,SC,154.4674,"GILLS CREEK AT COLUMBIA, SC"
02457595,3,0.7097597,7.133746,02457595,03,Non-ref,EastHghlnds,AL,133.1694,"FIVEMILE CREEK NEAR REPUBLIC, AL"
02297100,7,-2.7522352,6.720719,02297100,03,Non-ref,SECstPlain,FL,350.4303,JOSHUA CREEK AT NOCATEE FL
02220900,11,0.82199585,13.248118,02220900,03,Non-ref,SEPlains,GA,689.9769,"LITTLE RIVER NEAR EATONTON, GA"
02384500,15,0.8307611,22.497896,02384500,03,Non-ref,EastHghlnds,GA,653.0661,"CONASAUGA RIVER NEAR ETON, GA"
02301500,21,-0.3291427,13.88752,02301500,03,Non-ref,SECstPlain,FL,868.2588,ALAFIA RIVER AT LITHIA FL
02045500,33,0.67601645,27.964626,02045500,03,Non-ref,SEPlains,VA,1498.069,"NOTTOWAY RIVER NEAR STONY CREEK, VA"
02424000,65,0.934018,73.46942,02424000,03,Non-ref,EastHghlnds,AL,2656.627,CAHABA RIVER AT CENTREVILLE AL
02315500,123,-19.257998,69.66392,02315500,03,Ref,SECstPlain,FL,6136.255,"SUWANNEE RIVER AT WHITE SPRINGS, FLA."
02352500,299,0.6737352,174.29834,02352500,03,Non-ref,SEPlains,GA,13700.25,"FLINT RIVER AT ALBANY, GA"
04108600,3,0.8605119,2.5173984,04108600,04,Non-ref,CntlPlains,MI,173.268,"RABBIT RIVER NEAR HOPKINS, MI"
04215500,3,0.6864662,14.901071,04215500,04,Non-ref,NorthEast,NY,350.7246,CAZENOVIA CREEK AT EBENEZER NY
04025500,7,-0.8707988,2.1441376,04025500,04,Non-ref,MxWdShld,WI,302.7636,"BOIS BRULE RIVER AT BRULE, WI"
04057510,9,0.78157765,4.8651605,04057510,04,Ref,MxWdShld,MI,473.5728,"STURGEON RIVER NEAR NAHMA JUNCTION, MI"
04103010,13,0.3077731,3.231675,04103010,04,Non-ref,CntlPlains,MI,696.1977,"KALAMAZOO RIVER NEAR MARENGO, MI"
04041500,19,0.5627525,13.326167,04041500,04,Non-ref,MxWdShld,MI,869.9346,"STURGEON RIVER NEAR ALSTON, MI"
04164000,27,0.6760249,11.18199,04164000,04,Non-ref,CntlPlains,MI,1143.005,"CLINTON RIVER NEAR FRASER, MI"
04151500,43,0.17962706,30.253475,04151500,04,Non-ref,CntlPlains,MI,2164.86,"CASS RIVER AT FRANKENMUTH, MI"
04073500,77,0.6512704,20.939562,04073500,04,Non-ref,CntlPlains,WI,3416.35,"FOX RIVER AT BERLIN, WI"
04101500,233,0.93707454,62.75873,04101500,04,Non-ref,CntlPlains,MI,9623.396,"ST. JOSEPH RIVER AT NILES, MI"
03208950,3,0.71205384,3.8377836,03208950,05,Non-ref,EastHghlnds,VA,171.9225,"CRANES NEST RIVER NEAR CLINTWOOD, VA"
03289300,5,0.84362966,9.395301,03289300,05,Non-ref,SEPlains,KY,267.534,"SOUTH ELKHORN CREEK NEAR MIDWAY, KY"
03347000,9,0.58577114,16.935276,03347000,05,Non-ref,CntlPlains,IN,627.1389,"WHITE RIVER AT MUNCIE, IN"
03053500,13,0.9018629,23.823763,03053500,05,Non-ref,EastHghlnds,WV,697.7826,"BUCKHANNON RIVER AT HALL, WV"
03375500,17,0.532712,12.900026,03375500,05,Non-ref,SEPlains,IN,678.1401,"PATOKA RIVER AT JASPER, IN"
03378635,23,0.8229346,22.843737,03378635,05,Non-ref,SEPlains,IL,622.0404,"LITTLE WABASH RIVER NEAR EFFINGHAM, IL"
03094000,35,0.2908739,21.861464,03094000,05,Non-ref,NorthEast,OH,1487.505,Mahoning River at Leavittsburg OH
03221000,53,0.72823393,53.27783,03221000,05,Non-ref,CntlPlains,OH,2549.06,Scioto River below O Shaughnessy Dam nr Dublin OH
03184000,95,0.8373263,106.75065,03184000,05,Non-ref,EastHghlnds,WV,4225.824,"GREENBRIER RIVER AT HILLDALE, WV"
03075070,289,0.90742755,303.67404,03075070,05,Non-ref,EastHghlnds,PA,13824.03,"Monongahela River at Elizabeth, PA"
03455500,3,0.45089376,3.5572243,03455500,06,Ref,EastHghlnds,NC,72.9522,"W F PIGEON R ABOVE LAKE LOGAN NR HAZELWOOD, NC"
03592718,3,0.7845969,2.572635,03592718,06,Ref,SEPlains,MS,66.9897,"LITTLE YELLOW CREEK EAST NR BURNSVILLE, MS"
03456100,5,0.38583517,5.786176,03456100,06,Non-ref,EastHghlnds,NC,150.7977,"W FK PIGEON R AT BETHEL, NC"
03479000,7,0.51662505,8.128241,03479000,06,Ref,EastHghlnds,NC,235.6011,"WATAUGA RIVER NEAR SUGAR GROVE, NC"
03473000,11,0.78693914,14.187806,03473000,06,Ref,EastHghlnds,VA,784.8126,"S F HOLSTON RIVER NEAR DAMASCUS, VA"
03443000,13,0.75079197,22.117262,03443000,06,Non-ref,EastHghlnds,NC,765.5247,"FRENCH BROAD RIVER AT BLANTYRE, NC"
03459500,17,0.62388384,21.101286,03459500,06,Non-ref,EastHghlnds,NC,905.6979,"PIGEON RIVER NEAR HEPCO, NC"
03604000,27,0.27966136,45.268246,03604000,06,Ref,SEPlains,TN,1163.026,"BUFFALO RIVER NEAR FLAT WOODS, TN"
03451500,47,0.86618316,52.50186,03451500,06,Non-ref,EastHghlnds,NC,2444.736,"FRENCH BROAD RIVER AT ASHEVILLE, NC"
03566000,121,-0.36894453,86.77614,03566000,06,Non-ref,EastHghlnds,TN,5969.783,"HIWASSEE RIVER AT CHARLESTON, TN"
05406500,3,0.82429075,1.0324316,05406500,07,Non-ref,CntlPlains,WI,115.8579,"BLACK EARTH CREEK AT BLACK EARTH, WI"
05287890,5,0.18293893,2.056984,05287890,07,Non-ref,CntlPlains,MN,222.1204,"ELM CREEK NR CHAMPLIN, MN"
05540130,7,0.78072476,7.048936,05540130,07,Non-ref,CntlPlains,IL,319.4865,"WEST BRANCH DU PAGE RIVER NEAR NAPERVILLE, IL"
05470500,11,-0.9908856,12.25087,05470500,07,Non-ref,CntlPlains,IA,550.7748,"Squaw Creek at Ames, IA"
05502300,17,0.35844135,35.94973,05502300,07,Non-ref,CntlPlains,MO,935.1459,"Salt River at Hagers Grove, MO"
05245100,25,0.5951898,5.466576,05245100,07,Non-ref,CntlPlains,MN,1462.141,"LONG PRAIRIE RIVER AT LONG PRAIRIE, MN"
